id,start,end,band,region,type,label,code,attributes,,link
0,1776/07/04,2025/01/01,0,usa,empire,USA,,,,
1,1603/01/01,1867/01/01,2,jap,empire,Edo,,,,
2,1921/07/23,2040/01/01,2,chi,empire,Communist China,chi,4,,
3,0962/05/02,1806/11/06,1,ger,empire,Holy Roman Empire,eur,6,,
4,1492/01/01,1976/01/01,1,spa,empire,Spanish Empire,eur,7,,
5,1021/07/23,2240/01/01,0,usa,empire,Dabs,chi,,,
6,1950/01/01,1975/01/01,2,rus,event,USSR,ussr,,,
7,1950/01/01,1975/01/01,0,rus,event,USSR,ussr,,,
8,-3100/01/01,-539/01/01,2,mde,empire,Mesopotamia,,,,
9,-3000/01/01,-550/01/01,1,,empire,Ancient Egypt,,,,
10,-2500/01/01,-1500/01/01,2,,empire,Indus Civilization,,,,
11,-1500/01/01,-500/01/01,2,,empire,Vedic Age,,,,
12,-2000/01/01,0500/01/01,2,,empire,Ancient China,,,,
13,-2000/01/01,-1200/01/01,1,,empire,Agean,,,,
14,-1200/01/01,-1/01/01,1,,empire,Ancient Greece,,,,
15,-500/01/01,-1/01/01,1,,empire,Roman Republic,,,,
16,-1/01/01,0500/01/01,1,,empire,Roman Empire,,,,
17,-2000/01/01,-1000/01/01,1,,empire,Nubian Civilization,,,,
18,-1000/01/01,0300/01/01,1,,empire,Kush (Nubia),,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,pyramids,,,,
,,,,,,bronze age,,,,
,,,,,,ancient china,,,,
,,,,,,ancient babylon,,,,
,,,,,,mycenian greeks,,,,
,,,,,,iron age,,,,
,,,,,,olmecs,,,,
,,,,,,assyrian empire,,,,
,,,,,,persian empire,,,,
,,,,,,confucius,,,,
,,,,,,alexander the great macedonia,,,,
,,,,,,chandragupta,,,,
,,,,,,mauryan empire,,,,
,,,,,,tamil kings,,,,
,,,,,,qin dynasty,,,,
,,,,,,xixiongnu event,,,,
,,,,,,ancient greece,,,,
,,,,,,ancient rome,,,,
,,,,,,parthian empire,,,,
,,,,,,roman empire,,,,
,,,,,,jesus,,,,
,,,,,,silk road,,,,
,,,,,,china conquers vietnam event,,,,
,,,,,,sassanid empire,,,,
,,,,,,jin dynasty china,,,,
,,,,,,ghana empire,,,,
,,,,,,constantine,,,,
,,,,,,sassanid empire,,,,
,,,,,,golden age of india,,,,
,,,,,,gupta empire,,,,
,,,,,,Byzantine empire -> constantinople,,,,
,,,,,,rashidun caliphate,,,,
,,,,,,islamic golden age,,,,
,,,,,,franks kingdom,,,,
,,,,,,west francia,,,,
,,,,,,kievan rus,,,,
,,,,,,holy roman empire germany,,,,
,,,,,,eastern orthodox,,,,
,,,,,,byzantine empire,,,,
,,,,,,,,,,
,,,,,,mississippi civilization,,,,
,,,,,,shogunate japan,,,,
,,,,,,mongols,,,,
,,,,,,king of mali mansa musa,,,,
,,,,,,renaissance italy,,,,
,,,,,,ottoman turks,,,,
,,,,,,columbus,,,,
,,,,,,hapsburgs,,,,
,,,,,,ivan the great,,,,
,,,,,,95 theses martin luther,,,,
,,,,,,ottoman empire,,,,
,,,,,,ivan the terrible,,,,
,,,,,,france britain map,,,,
,,,,,,us rev,,,,
,,,,,,haitian slave revolution,,,,
,,,,,,latin american wars of independence,,,,
,,,,,,industrial revoluton,,,,
,,,,,,marx,,,,
,,,,,,india colonization,,,,
,,,,,,opium wars,,,,
,,,,,,the great game russia chess,,,,
,,,,,,us civil war,,,,
,,,,,,jackson pushing out native americans,,,,
,,,,,,uss maine on spain,,,,
,,,,,,panama canal,,,,
,,,,,,republic of china,,,,
,,,,,,wwi,,,,
,,,,,,wwii,,,,
,,,,,,ussr,,,,
,,,,,,qing dynasty,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,wwi:,,,,
,,,,,,britain france russia italy japan us,,,,
,,,,,,vs,,,,
,,,,,,austria hungary,,,,
,,,,,,germany,,,,
,,,,,,ottoman empire,,,,
,,,,,,bulgaria,,,,
,,,,,,scramble for africa,,,,
,,,,,,russian revolution,,,,
,,,,,,israel palestine,,,,
,,,,,,wwii,,,,
,,,,,,UN,,,,
,,,,,,gandhi,,,,
,,,,,,pakistan/bangladesh,,,,
,,,,,,communism jfk cold war,,,,
,,,,,,space race,,,,
,,,,,,decolonization,,,,
,,,,,,mlk,,,,
,,,,,,apartheid,,,,
,,,,,,eu,,,,
